From,To,Distance_km,Duration_min
BUU(Start),P4,136.8681,111.70166666666667
P4,P3,6.7999,15.788333333333332
P3,P2,3.7634000000000003,9.356666666666666
P2,P19,9.1492,20.366666666666667
P19,P5,7.465,17.913333333333334
P5,P1,7.1343000000000005,23.271666666666665
P1,P8,25.0601,42.595
P8,P12,8.726799999999999,13.753333333333334
P12,P17,0.5271,1.49
P17,P18,2.3805,5.985
P18,P6,8.8556,13.623333333333333
P6,P10,1.5512000000000001,3.7616666666666663
P10,P16,6.8376,11.121666666666666
P16,P9,1.9622,3.1983333333333333
P9,P7,6.842,11.976666666666667
P7,P15,10.8425,24.896666666666665
P15,P11,3.6155999999999997,6.55
P11,P14,15.4725,19.923333333333336
P14,P13,9.8324,11.543333333333333
P13,จุดส่งตัวอย่างน้ำ,130.1287,109.12666666666668
จุดส่งตัวอย่างน้ำ,BUU(End),13.149700000000001,14.178333333333335
