From,To,Distance_km,Duration_min
Start,P15,4.648,6.736666666666666
P15,P17,6.0448,7.541666666666667
P17,P3,4.554,7.866666666666666
P3,P2,0.014,0.03166666666666666
P2,P1,0.9362,2.353333333333333
P1,P16,1.6345,3.615
P16,P5,26.5628,28.56833333333333
P5,P4,4.6846000000000005,9.335
P4,P6,14.3339,22.465
P6,P7,3.9469000000000003,7.873333333333333
P7,P12,30.4535,42.663333333333334
P12,P13,1.8667,5.593333333333334
P13,P8,0.41,2.4733333333333336
P8,P14,2.2271,13.365
P14,P11,3.3952,7.515
P11,P10,6.5298,10.365
P10,P9,1.6179000000000001,3.878333333333333
P9,จุดส่งตัวอย่างน้ำ,125.4498,95.99833333333332
จุดส่งตัวอย่างน้ำ,BUU(End),13.149700000000001,14.178333333333335
