From,To,Distance_km,Duration_min
Start,P5,13.2538,16.24
P5,P3,2.5374,8.275
P3,P4,4.5146999999999995,11.658333333333333
P4,P1,4.540100000000001,12.508333333333333
P1,P2,5.581600000000001,16.006666666666668
P2,P6,6.2251,11.585
P6,P8,3.2112,3.5016666666666665
P8,P7,9.9337,15.133333333333333
P7,P17,7.857600000000001,15.953333333333335
P17,P11,2.4633000000000003,6.1483333333333325
P11,P16,4.4888,9.41
P16,P12,3.1819,5.203333333333333
P12,P9,3.94,6.428333333333333
P9,P14,3.8646,6.255
P14,P13,5.5925,8.931666666666667
P13,P10,4.1073,5.426666666666667
P10,P15,3.3695999999999997,4.651666666666667
P15,P18,0.7381,1.06
P18,จุดส่งตัวอย่างน้ำ,228.0403,166.86166666666668
จุดส่งตัวอย่างน้ำ,BUU(End),13.149700000000001,14.178333333333335
