From,To,Distance_km,Duration_min
Start,P1,18.8661,18.116666666666667
P1,P7,21.9135,24.195
P7,P6,3.3807,7.321666666666667
P6,P3,19.1638,41.82
P3,P5,5.1155,11.471666666666666
P5,P2,1.2667,2.2616666666666663
P2,P4,2.9526999999999997,5.62
P4,P15,20.1745,22.77
P15,P11,41.9426,47.14
P11,P14,0.7586,1.8183333333333331
P14,P12,3.239,7.845
P12,P13,17.3598,25.84333333333333
P13,P17,24.256,33.52166666666667
P17,P16,0.7912,1.3066666666666669
P16,P18,11.249799999999999,17.896666666666665
P18,P19,22.0761,27.61
P19,P10,39.6163,43.861666666666665
P10,P8,49.506800000000005,65.95
P8,P9,4.7682,9.610000000000001
P9,จุดส่งตัวอย่างน้ำ,174.96529999999998,131.705
จุดส่งตัวอย่างน้ำ,BUU(End),13.149700000000001,14.178333333333335
