Step,From,To,Distance_km,Duration_min
1,Depot(Start),P2,239.5485,184.7
2,P2,P1,5.581600000000001,15.901666666666667
3,P1,P5,6.5562,15.360000000000001
4,P5,P3,2.5374,8.275
5,P3,P4,4.5146999999999995,11.658333333333333
6,P4,P8,7.565300000000001,15.648333333333333
7,P8,P6,3.2112,3.5016666666666665
8,P6,P7,7.0281,12.025
9,P7,P17,7.857600000000001,15.953333333333335
10,P17,P11,2.4633000000000003,6.1483333333333325
11,P11,P16,4.4888,9.41
12,P16,P12,3.1819,5.203333333333333
13,P12,P9,3.94,6.428333333333333
14,P9,P14,3.8646,6.255
15,P14,P13,5.5925,8.931666666666667
16,P13,P10,4.1073,5.426666666666667
17,P10,P15,3.3695999999999997,4.651666666666667
18,P15,P18,0.7381,1.06
19,P18,LAST_STOP,228.0403,166.86166666666668
20,LAST_STOP,Depot(End),13.149700000000001,14.178333333333335
