Step,From,To,Distance_km,Duration_min
1,Depot(Start),P7,47.353699999999996,43.665
2,P7,P9,3.2117,8.266666666666667
3,P9,P4,8.2339,13.638333333333332
4,P4,P3,1.2715999999999998,3.0683333333333334
5,P3,P2,1.9193,4.783333333333333
6,P2,P1,2.5289,5.221666666666667
7,P1,P19,5.5904,6.721666666666667
8,P19,P18,0.0,0.0
9,P18,P17,0.0,0.0
10,P17,P16,0.0,0.0
11,P16,P8,0.0,0.0
12,P8,P6,37.061699999999995,45.355000000000004
13,P6,P12,26.2107,32.221666666666664
14,P12,P13,5.9307,9.476666666666667
15,P13,P10,12.5176,22.595000000000002
16,P10,P11,11.1299,16.326666666666668
17,P11,P5,26.492,29.78166666666667
18,P5,P15,14.9278,20.815
19,P15,P14,1.5952,2.5433333333333334
20,P14,LAST_STOP,45.6629,56.26833333333333
21,LAST_STOP,Depot(End),13.149700000000001,14.178333333333335
