Step,From,To,Distance_km,Duration_min
1,BUU(Start),P16,99.7152,81.28333333333333
2,P16,P18,10.600700000000002,10.389999999999999
3,P18,P11,6.1428,7.141666666666667
4,P11,P13,9.821299999999999,14.158333333333333
5,P13,P9,8.4326,16.503333333333334
6,P9,P7,5.5367,13.578333333333335
7,P7,P6,0.042,0.1
8,P6,P10,4.4167,8.551666666666668
9,P10,P8,5.3359,8.671666666666665
10,P8,P12,8.1953,12.601666666666667
11,P12,P5,15.4725,19.996666666666666
12,P5,P19,3.6155999999999997,6.515
13,P19,P20,7.9106000000000005,17.209999999999997
14,P20,P4,6.8045,10.471666666666666
15,P4,P21,6.761699999999999,15.513333333333332
16,P21,P2,2.5702,7.498333333333333
17,P2,P14,6.38,10.129999999999999
18,P14,P1,3.5109,8.465
19,P1,P3,2.8665,5.083333333333333
20,P3,P15,9.815299999999999,11.336666666666668
21,P15,P17,5.8344,7.463333333333334
22,P17,จุดส่งตัวอย่างน้ำ,94.1044,76.14666666666668
23,จุดส่งตัวอย่างน้ำ,BUU(End),13.149700000000001,14.178333333333335
