Step,From,To,Distance_km,Duration_min
1,BUU(Start),P5,90.8472,82.31833333333334
2,P5,P1,7.125100000000001,11.46
3,P1,P4,9.9073,20.355
4,P4,P3,2.6696999999999997,6.443333333333333
5,P3,P8,9.6515,15.013333333333332
6,P8,P2,3.8184,5.321666666666667
7,P2,P7,8.058300000000001,10.245000000000001
8,P7,P12,13.465200000000001,15.365
9,P12,P11,10.546899999999999,11.875
10,P11,P14,0.4629,1.2116666666666667
11,P14,P15,0.5316000000000001,1.4400000000000002
12,P15,P16,0.6447,1.5416666666666667
13,P16,P19,1.0734000000000001,2.868333333333333
14,P19,P18,1.6987,4.296666666666667
15,P18,P10,7.559,15.131666666666666
16,P10,P17,8.8963,11.028333333333334
17,P17,P9,10.572899999999999,14.696666666666665
18,P9,P6,36.58,44.76
19,P6,P13,51.1027,53.638333333333335
20,P13,จุดส่งตัวอย่างน้ำ,54.636300000000006,59.87833333333333
21,จุดส่งตัวอย่างน้ำ,BUU(End),13.149700000000001,14.178333333333335
